"","Location","Race","Sex","Yes","No"
"1","Welch","Asian","Men",7,10
"2","Welch","Black","Men",0,0
"3","Welch","Hispanic","Men",6,9
"4","Welch","White","Men",18,26
"5","Welch","Asian","Women",6,9
"6","Welch","Black","Women",3,5
"7","Welch","Hispanic","Women",8,11
"8","Welch","White","Women",20,28
"9","Burdine","Asian","Men",7,10
"10","Burdine","Black","Men",1,1
"11","Burdine","Hispanic","Men",8,10
"12","Burdine","White","Men",18,25
"13","Burdine","Asian","Women",6,9
"14","Burdine","Black","Women",3,3
"15","Burdine","Hispanic","Women",8,11
"16","Burdine","White","Women",21,28
"17","RLM","Asian","Men",7,8
"18","RLM","Black","Men",1,2
"19","RLM","Hispanic","Men",6,9
"20","RLM","White","Men",19,27
"21","RLM","Asian","Women",7,10
"22","RLM","Black","Women",3,4
"23","RLM","Hispanic","Women",8,10
"24","RLM","White","Women",21,28
"25","GDC","Asian","Men",8,11
"26","GDC","Black","Men",2,2
"27","GDC","Hispanic","Men",7,10
"28","GDC","White","Men",17,26
"29","GDC","Asian","Women",7,10
"30","GDC","Black","Women",1,1
"31","GDC","Hispanic","Women",7,10
"32","GDC","White","Women",20,28
"33","Painter","Asian","Men",6,9
"34","Painter","Black","Men",0,2
"35","Painter","Hispanic","Men",8,12
"36","Painter","White","Men",19,26
"37","Painter","Asian","Women",8,9
"38","Painter","Black","Women",2,0
"39","Painter","Hispanic","Women",9,10
"40","Painter","White","Women",20,25
"41","CLA","Asian","Men",8,10
"42","CLA","Black","Men",2,2
"43","CLA","Hispanic","Men",9,10
"44","CLA","White","Men",20,28
"45","CLA","Asian","Women",6,8
"46","CLA","Black","Women",2,3
"47","CLA","Hispanic","Women",8,10
"48","CLA","White","Women",20,27
"49","West mall","Asian","Men",8,10
"50","West mall","Black","Men",2,2
"51","West mall","Hispanic","Men",8,12
"52","West mall","White","Men",19,27
"53","West mall","Asian","Women",6,8
"54","West mall","Black","Women",2,1
"55","West mall","Hispanic","Women",9,12
"56","West mall","White","Women",20,30
"57","McCombs","Asian","Men",8,12
"58","McCombs","Black","Men",2,0
"59","McCombs","Hispanic","Men",7,11
"60","McCombs","White","Men",20,29
"61","McCombs","Asian","Women",5,8
"62","McCombs","Black","Women",2,4
"63","McCombs","Hispanic","Women",9,12
"64","McCombs","White","Women",19,29
"65","Main mall","Asian","Men",6,10
"66","Main mall","Black","Men",1,3
"67","Main mall","Hispanic","Men",7,13
"68","Main mall","White","Men",21,23
"69","Main mall","Asian","Women",4,8
"70","Main mall","Black","Women",1,5
"71","Main mall","Hispanic","Women",10,12
"72","Main mall","White","Women",19,28
"73","Jester","Asian","Men",9,7
"74","Jester","Black","Men",0,2
"75","Jester","Hispanic","Men",7,12
"76","Jester","White","Men",20,25
"77","Jester","Asian","Women",7,10
"78","Jester","Black","Women",1,7
"79","Jester","Hispanic","Women",5,12
"80","Jester","White","Women",19,29
"81","UTC","Asian","Men",6,13
"82","UTC","Black","Men",1,0
"83","UTC","Hispanic","Men",8,9
"84","UTC","White","Men",19,25
"85","UTC","Asian","Women",3,10
"86","UTC","Black","Women",4,2
"87","UTC","Hispanic","Women",11,12
"88","UTC","White","Women",19,27
